,precision,recall,f1-score
0,0.998,0.998,0.998
1,0.679,0.974,0.800
2,0.492,0.051,0.093
3,0.986,1.000,0.993
4,0.357,0.001,0.001
5,0.535,0.999,0.697
6,0.553,1.000,0.712
7,1.000,0.998,0.999
8,1.000,0.999,1.000
9,1.000,0.652,0.789
10,0.999,1.000,0.999
0,0.999,1.000,1.000
1,0.978,1.000,0.989
2,1.000,0.955,0.977
3,1.000,1.000,1.000
4,1.000,0.145,0.253
5,0.573,1.000,0.729
6,0.966,1.000,0.983
7,1.000,1.000,1.000
8,1.000,1.000,1.000
9,1.000,0.985,0.992
10,1.000,1.000,1.000
0,0.999,0.999,0.999
1,0.889,0.926,0.907
2,0.834,0.761,0.796
3,0.999,0.999,0.999
4,0.588,0.001,0.001
5,0.535,1.000,0.697
6,0.554,1.000,0.713
7,1.000,1.000,1.000
8,1.000,1.000,1.000
9,1.000,0.652,0.790
10,0.994,1.000,0.997
0,0.999,0.996,0.997
1,0.808,0.807,0.808
2,0.607,0.606,0.606
3,0.991,0.957,0.974
4,0.093,0.000,0.000
5,0.532,0.999,0.694
6,0.553,1.000,0.712
7,1.000,1.000,1.000
8,1.000,1.000,1.000
9,0.999,0.652,0.789
10,0.997,0.999,0.998
0,0.997,1.000,0.998
1,0.998,0.997,0.997
2,0.994,0.995,0.994
3,0.994,0.998,0.996
4,0.465,0.999,0.635
5,0.250,0.000,0.000
6,0.551,1.000,0.710
7,1.000,1.000,1.000
8,1.000,1.000,1.000
9,1.000,0.649,0.787
10,0.999,1.000,0.999
